clip_id,video_id,file_path,category,binary_label,split,clip_index,start_seconds,end_seconds,clip_duration_seconds,source_video_duration_seconds,source_fps
Abuse002_x264_clip_00000,Abuse002_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,Abuse,1,test,0,0.0,4.0,4.0,28.833,30.0
Abuse002_x264_clip_00001,Abuse002_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,Abuse,1,test,1,4.0,8.0,4.0,28.833,30.0
Abuse002_x264_clip_00002,Abuse002_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,Abuse,1,test,2,8.0,12.0,4.0,28.833,30.0
Abuse002_x264_clip_00003,Abuse002_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,Abuse,1,test,3,12.0,16.0,4.0,28.833,30.0
Abuse002_x264_clip_00004,Abuse002_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,Abuse,1,test,4,16.0,20.0,4.0,28.833,30.0
Abuse002_x264_clip_00005,Abuse002_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,Abuse,1,test,5,20.0,24.0,4.0,28.833,30.0
Abuse002_x264_clip_00006,Abuse002_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,Abuse,1,test,6,24.0,28.0,4.0,28.833,30.0
Abuse003_x264_clip_00000,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,0,0.0,4.0,4.0,123.3,30.0
Abuse003_x264_clip_00001,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,1,4.0,8.0,4.0,123.3,30.0
Abuse003_x264_clip_00002,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,2,8.0,12.0,4.0,123.3,30.0
Abuse003_x264_clip_00003,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,3,12.0,16.0,4.0,123.3,30.0
Abuse003_x264_clip_00004,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,4,16.0,20.0,4.0,123.3,30.0
Abuse003_x264_clip_00005,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,5,20.0,24.0,4.0,123.3,30.0
Abuse003_x264_clip_00006,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,6,24.0,28.0,4.0,123.3,30.0
Abuse003_x264_clip_00007,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,7,28.0,32.0,4.0,123.3,30.0
Abuse003_x264_clip_00008,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,8,32.0,36.0,4.0,123.3,30.0
Abuse003_x264_clip_00009,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,9,36.0,40.0,4.0,123.3,30.0
Abuse003_x264_clip_00010,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,10,40.0,44.0,4.0,123.3,30.0
Abuse003_x264_clip_00011,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,11,44.0,48.0,4.0,123.3,30.0
Abuse003_x264_clip_00012,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,12,48.0,52.0,4.0,123.3,30.0
Abuse003_x264_clip_00013,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,13,52.0,56.0,4.0,123.3,30.0
Abuse003_x264_clip_00014,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,14,56.0,60.0,4.0,123.3,30.0
Abuse003_x264_clip_00015,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,15,60.0,64.0,4.0,123.3,30.0
Abuse003_x264_clip_00016,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,16,64.0,68.0,4.0,123.3,30.0
Abuse003_x264_clip_00017,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,17,68.0,72.0,4.0,123.3,30.0
Abuse003_x264_clip_00018,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,18,72.0,76.0,4.0,123.3,30.0
Abuse003_x264_clip_00019,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,19,76.0,80.0,4.0,123.3,30.0
Abuse003_x264_clip_00020,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,20,80.0,84.0,4.0,123.3,30.0
