video_id,file_name,file_path,relative_path,parent_folder,category,binary_label,file_extension,file_size_mb,is_readable,fps,frame_count,width,height,duration_seconds,duration_minutes
Abuse001_x264,Abuse001_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse001_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse001_x264.mp4,Abuse,Abuse,1,.mp4,20.499,True,30.0,2729,320,240,90.967,1.516
Abuse002_x264,Abuse002_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,Abuse,Abuse,1,.mp4,6.918,True,30.0,865,320,240,28.833,0.481
Abuse003_x264,Abuse003_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,Abuse,1,.mp4,24.738,True,30.0,3699,320,240,123.3,2.055
Abuse004_x264,Abuse004_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse004_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse004_x264.mp4,Abuse,Abuse,1,.mp4,61.06,True,30.0,16794,320,240,559.8,9.33
Abuse005_x264,Abuse005_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse005_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse005_x264.mp4,Abuse,Abuse,1,.mp4,5.961,True,30.0,949,320,240,31.633,0.527
Abuse006_x264,Abuse006_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse006_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse006_x264.mp4,Abuse,Abuse,1,.mp4,34.892,True,30.0,4380,320,240,146.0,2.433
Abuse007_x264,Abuse007_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse007_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse007_x264.mp4,Abuse,Abuse,1,.mp4,8.073,True,30.0,1150,320,240,38.333,0.639
Abuse008_x264,Abuse008_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse008_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse008_x264.mp4,Abuse,Abuse,1,.mp4,34.356,True,30.0,8406,320,240,280.2,4.67
Abuse009_x264,Abuse009_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264.mp4,Abuse,Abuse,1,.mp4,8.345,True,30.0,1001,320,240,33.367,0.556
Abuse010_x264,Abuse010_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse010_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse010_x264.mp4,Abuse,Abuse,1,.mp4,9.611,True,30.0,1133,320,240,37.767,0.629
Abuse011_x264,Abuse011_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse011_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse011_x264.mp4,Abuse,Abuse,1,.mp4,14.494,True,30.0,3646,320,240,121.533,2.026
Abuse012_x264,Abuse012_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264.mp4,Abuse,Abuse,1,.mp4,29.028,True,30.0,5130,320,240,171.0,2.85
Abuse013_x264,Abuse013_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse013_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse013_x264.mp4,Abuse,Abuse,1,.mp4,37.242,True,30.0,4869,320,240,162.3,2.705
Abuse014_x264,Abuse014_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse014_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse014_x264.mp4,Abuse,Abuse,1,.mp4,6.664,True,30.0,2590,320,240,86.333,1.439
Abuse015_x264,Abuse015_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse015_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse015_x264.mp4,Abuse,Abuse,1,.mp4,19.268,True,30.0,7875,320,240,262.5,4.375
Abuse016_x264,Abuse016_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse016_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse016_x264.mp4,Abuse,Abuse,1,.mp4,8.861,True,30.0,1407,320,240,46.9,0.782
Abuse017_x264,Abuse017_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse017_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse017_x264.mp4,Abuse,Abuse,1,.mp4,11.302,True,30.0,1920,320,240,64.0,1.067
Abuse018_x264,Abuse018_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse018_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse018_x264.mp4,Abuse,Abuse,1,.mp4,6.917,True,30.0,2428,320,240,80.933,1.349
Abuse019_x264,Abuse019_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse019_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse019_x264.mp4,Abuse,Abuse,1,.mp4,25.344,True,30.0,3943,320,240,131.433,2.191
Abuse020_x264,Abuse020_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse020_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse020_x264.mp4,Abuse,Abuse,1,.mp4,21.326,True,30.0,3104,320,240,103.467,1.724
Abuse021_x264,Abuse021_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse021_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse021_x264.mp4,Abuse,Abuse,1,.mp4,6.007,True,30.0,1913,320,240,63.767,1.063
Abuse022_x264,Abuse022_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse022_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse022_x264.mp4,Abuse,Abuse,1,.mp4,18.561,True,30.0,2832,320,240,94.4,1.573
Abuse023_x264,Abuse023_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse023_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse023_x264.mp4,Abuse,Abuse,1,.mp4,6.504,True,30.0,992,320,240,33.067,0.551
Abuse024_x264,Abuse024_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse024_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse024_x264.mp4,Abuse,Abuse,1,.mp4,8.321,True,30.0,1021,320,240,34.033,0.567
Abuse025_x264,Abuse025_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse025_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse025_x264.mp4,Abuse,Abuse,1,.mp4,16.024,True,30.0,2031,320,240,67.7,1.128
Abuse026_x264,Abuse026_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse026_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse026_x264.mp4,Abuse,Abuse,1,.mp4,16.178,True,30.0,1986,320,240,66.2,1.103
Abuse027_x264,Abuse027_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse027_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse027_x264.mp4,Abuse,Abuse,1,.mp4,26.819,True,30.0,4372,320,240,145.733,2.429
Abuse028_x264,Abuse028_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse028_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse028_x264.mp4,Abuse,Abuse,1,.mp4,8.487,True,30.0,1412,320,240,47.067,0.784
Abuse029_x264,Abuse029_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse029_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse029_x264.mp4,Abuse,Abuse,1,.mp4,1.531,True,30.0,300,320,240,10.0,0.167
Abuse030_x264,Abuse030_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse030_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse030_x264.mp4,Abuse,Abuse,1,.mp4,12.539,True,30.0,1544,320,240,51.467,0.858
Abuse031_x264,Abuse031_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse031_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse031_x264.mp4,Abuse,Abuse,1,.mp4,23.638,True,30.0,4442,320,240,148.067,2.468
Abuse032_x264,Abuse032_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse032_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse032_x264.mp4,Abuse,Abuse,1,.mp4,19.474,True,30.0,4750,320,240,158.333,2.639
Abuse033_x264,Abuse033_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse033_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse033_x264.mp4,Abuse,Abuse,1,.mp4,21.852,True,30.0,2831,320,240,94.367,1.573
Abuse034_x264,Abuse034_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse034_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse034_x264.mp4,Abuse,Abuse,1,.mp4,12.627,True,30.0,1563,320,240,52.1,0.868
Abuse035_x264,Abuse035_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse035_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse035_x264.mp4,Abuse,Abuse,1,.mp4,22.62,True,30.0,2651,320,240,88.367,1.473
Abuse036_x264,Abuse036_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse036_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse036_x264.mp4,Abuse,Abuse,1,.mp4,39.064,True,30.0,4703,320,240,156.767,2.613
Abuse037_x264,Abuse037_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse037_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse037_x264.mp4,Abuse,Abuse,1,.mp4,8.451,True,30.0,1795,320,240,59.833,0.997
Abuse038_x264,Abuse038_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse038_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse038_x264.mp4,Abuse,Abuse,1,.mp4,7.609,True,30.0,891,320,240,29.7,0.495
Abuse039_x264,Abuse039_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse039_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse039_x264.mp4,Abuse,Abuse,1,.mp4,94.572,True,30.0,14144,320,240,471.467,7.858
Abuse040_x264,Abuse040_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse040_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse040_x264.mp4,Abuse,Abuse,1,.mp4,15.379,True,30.0,3413,320,240,113.767,1.896
Abuse041_x264,Abuse041_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse041_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse041_x264.mp4,Abuse,Abuse,1,.mp4,11.035,True,30.0,1385,320,240,46.167,0.769
Abuse042_x264,Abuse042_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse042_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse042_x264.mp4,Abuse,Abuse,1,.mp4,204.776,True,30.0,28476,320,240,949.2,15.82
Abuse043_x264,Abuse043_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse043_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse043_x264.mp4,Abuse,Abuse,1,.mp4,32.193,True,30.0,3870,320,240,129.0,2.15
