video_id,file_name,file_path,relative_path,parent_folder,category,binary_label,file_extension,file_size_mb,is_readable,fps,frame_count,width,height,duration_seconds,duration_minutes,valid_video,split
Abuse002_x264,Abuse002_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse002_x264.mp4,Abuse,Abuse,1,.mp4,6.918,True,30.0,865,320,240,28.833,0.481,True,test
Abuse003_x264,Abuse003_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,Abuse,1,.mp4,24.738,True,30.0,3699,320,240,123.3,2.055,True,test
Abuse003_x264A,Abuse003_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,Abuse,1,.mp4,17.949,True,30.0,3699,320,240,123.3,2.055,True,test
Abuse009_x264A,Abuse009_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264A.mp4,Abuse,Abuse,1,.mp4,10.967,True,30.0,1001,320,240,33.367,0.556,True,test
Abuse012_x264A,Abuse012_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,Abuse,1,.mp4,22.05,True,30.0,5130,320,240,171.0,2.85,True,test
Abuse015_x264,Abuse015_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse015_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse015_x264.mp4,Abuse,Abuse,1,.mp4,19.268,True,30.0,7875,320,240,262.5,4.375,True,test
Abuse021_x264,Abuse021_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse021_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse021_x264.mp4,Abuse,Abuse,1,.mp4,6.007,True,30.0,1913,320,240,63.767,1.063,True,test
Abuse025_x264A,Abuse025_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse025_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse025_x264A.mp4,Abuse,Abuse,1,.mp4,13.103,True,30.0,2031,320,240,67.7,1.128,True,test
Abuse030_x264,Abuse030_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse030_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse030_x264.mp4,Abuse,Abuse,1,.mp4,12.539,True,30.0,1544,320,240,51.467,0.858,True,test
Abuse034_x264A,Abuse034_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse034_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse034_x264A.mp4,Abuse,Abuse,1,.mp4,16.323,True,30.0,1563,320,240,52.1,0.868,True,test
